Código;Produto;Valor Unitário
16019445;TECLADO/MOUSE CJ PT ABNT II DELL/KM5221W;499
16019459;IMA PERMAN NEODIMIO 80GRC CIRC 10X4MM;96
16019543;TESOURA CJ ESCR 21CM LYKE/LO101866;63,7
16019555;PLASTICO P/PLAST POLAS 0,10MM 303X426MM;487,75
16020089;FRAGMENTADORA P/PAP 217MM APP-TECH/S601;1006,5
16020095;CADEIRA SAF PP/FIBR VIDR S/ACOLCH C/BRAC;670,8
16020096;VIDEOGAME 100-240VCA BR SONY/CFI1014A;0
16021036;GUILHOTINA PORT P/ESCR MAN LASSANE/02670;625,9
16021131;LUMINARIA 110V/15W T8 LUMIBRAS/2850451;805,79
16021145;FITA ADES P/ROT PE AZ/BR BROTHER/TZE243;96,45
16021146;FITA ADES P/ROT PAP LAMIN BROTHER/TZE231;114,8
16021160;FITA ADES P/ROT PAP LAMIN BROTHER/TZE151;114,8
16021161;FITA ADES P/ROT PAP LAMIN BROTHER/TZE131;114,8
16021162;FITA ADES P/ROT PAP LAMIN BROTHER/TZE441;156
16021163;FITA ADES P/ROT PLAST BROTHER/TZE661;280,5
16021298;PRENDEDOR P/CRACH JAC MET BR EMB 50 UNID;81
